cod_ine,year,cod_provincia,provincia,cod_municipio,municipio,censo,votos_totais,abstencions,votos_nulos,votos_brancos,votos_candidaturas,votos_validos,turnout_pct,adcg,age_eu_anova,aidg,autonomo,bng,BNG-NOS (BNG-NOS CANDIDATURA GALEGA),c21,cc_cidadans,cdl,cds,Censo,contigo,cs,cxg,dec,dn,do_ourense,dpg,eb,ecg,edeg,en_marea,equo,eu_iu,fe_jons,fpg,ganemos,gu,hartos,idega,mas_g,mg,nos_up,p_lib,pacma,payj,pctg,ph,pirata_gal,podemos_av,podemos_eu_anova,pp,psoe,pt,pum_j,pyc,recortes_cero,recortes_esco,sain,scd,sdd,sumar,tega,uce,ucl,unidos_si,union_corunesa,upyd,via_nova,vox,adcg_pct,age_eu_anova_pct,aidg_pct,autonomo_pct,bng_pct,BNG-NOS (BNG-NOS CANDIDATURA GALEGA)_pct,c21_pct,cc_cidadans_pct,cdl_pct,cds_pct,Censo_pct,contigo_pct,cs_pct,cxg_pct,dec_pct,dn_pct,do_ourense_pct,dpg_pct,eb_pct,ecg_pct,edeg_pct,en_marea_pct,equo_pct,eu_iu_pct,fe_jons_pct,fpg_pct,ganemos_pct,gu_pct,hartos_pct,idega_pct,mas_g_pct,mg_pct,nos_up_pct,p_lib_pct,pacma_pct,payj_pct,pctg_pct,ph_pct,pirata_gal_pct,podemos_av_pct,podemos_eu_anova_pct,pp_pct,psoe_pct,pt_pct,pum_j_pct,pyc_pct,recortes_cero_pct,recortes_esco_pct,sain_pct,scd_pct,sdd_pct,sumar_pct,tega_pct,uce_pct,ucl_pct,unidos_si_pct,union_corunesa_pct,upyd_pct,via_nova_pct,vox_pct
27001,2001,27,Lugo,1,Abadín,3062,1724,1338,7,16,1701,1717,56.30306988896147,NA,NA,NA,3,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1087,202,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17472335468841002,23.179965055329063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11648223645894001,NA,NA,0.05824111822947001,NA,NA,0.11648223645894001,NA,0.29120559114735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05824111822947001,NA,NA,NA,63.30809551543389,11.76470588235294,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27001,2005,27,Lugo,1,Abadín,2876,1713,1163,9,10,1694,1704,59.56189151599444,NA,NA,NA,1,221,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,1086,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05868544600938967,12.969483568075118,NA,NA,NA,NA,0.11737089201877934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2347417840375587,0.17605633802816903,0.05868544600938967,NA,NA,NA,NA,NA,NA,0.2347417840375587,NA,NA,NA,NA,0.35211267605633806,NA,NA,NA,63.732394366197184,21.47887323943662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27001,2009,27,Lugo,1,Abadín,2669,1601,1068,19,34,1548,1582,59.98501311352567,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,993,362,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,11.061946902654867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2528445006321113,0,0,NA,0,NA,NA,0.06321112515802782,NA,0,NA,NA,NA,NA,0,NA,NA,NA,62.768647281921616,22.88242730720607,NA,0.06321112515802782,NA,NA,NA,NA,NA,NA,NA,0.12642225031605564,NA,NA,NA,NA,0.6321112515802781,NA,NA
27001,2012,27,Lugo,1,Abadín,2542,1456,1086,25,28,1403,1431,57.27773406766325,0,74,NA,NA,119,NA,1,NA,1,NA,NA,NA,NA,3,0,NA,0,NA,6,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,0,0,0,NA,NA,1003,177,5,0,1,NA,NA,0,1,0,NA,NA,0,NA,NA,0,8,NA,NA,0,5.17120894479385,NA,NA,8.315863032844165,NA,0.06988120195667365,NA,0.06988120195667365,NA,NA,NA,NA,0.20964360587002098,0,NA,0,NA,0.41928721174004197,NA,NA,NA,NA,NA,0,NA,NA,NA,0.1397624039133473,NA,NA,NA,NA,NA,0.1397624039133473,NA,0,0,0,NA,NA,70.09084556254368,12.368972746331238,0.3494060097833683,0,0.06988120195667365,NA,NA,0,0.06988120195667365,0,NA,NA,0,NA,NA,0,0.5590496156533892,NA,NA
27001,2016,27,Lugo,1,Abadín,2351,1234,1117,12,11,1211,1222,52.48830284985113,0,NA,0,NA,NA,58,0,0,NA,NA,NA,NA,21,1,NA,NA,0,NA,0,NA,NA,117,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,7,7,0,NA,NA,NA,NA,882,115,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,4.746317512274959,0,0,NA,NA,NA,NA,1.718494271685761,0.08183306055646482,NA,NA,0,NA,0,NA,NA,9.574468085106384,NA,NA,NA,NA,0.16366612111292964,NA,NA,NA,NA,NA,NA,0,0.5728314238952537,0.5728314238952537,0,NA,NA,NA,NA,72.17675941080196,9.410801963993453,NA,NA,NA,0.08183306055646482,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
27001,2020,27,Lugo,1,Abadín,2148,1124,1024,20,15,1089,1104,52.327746741154556,NA,NA,NA,NA,140,NA,0,NA,NA,NA,2148,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,16,765,131,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,12.681159420289855,NA,0,NA,NA,NA,194.56521739130434,NA,0.2717391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.09057971014492754,NA,NA,0,NA,0,NA,NA,NA,1.4492753623188406,69.29347826086956,11.865942028985508,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.989130434782609
27001,2024,27,Lugo,1,Abadín,2011,1182,829,8,17,1157,1174,58.77672799602188,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,748,147,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,18.56899488926746,NA,NA,NA,NA,NA,171.2947189097104,NA,NA,NA,NA,NA,NA,NA,0.08517887563884156,0.08517887563884156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17035775127768313,NA,NA,NA,NA,0,NA,63.7137989778535,12.52129471890971,NA,0.08517887563884156,NA,NA,NA,NA,NA,NA,0.5110732538330494,NA,NA,NA,NA,NA,NA,NA,2.810902896081772
27002,2001,27,Lugo,2,Alfoz,2131,1620,511,9,17,1594,1611,76.02064758329423,NA,NA,NA,5,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1016,358,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31036623215394166,12.911235257603973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06207324643078833,NA,NA,0.06207324643078833,NA,NA,0.06207324643078833,NA,0.186219739292365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06207324643078833,NA,NA,NA,63.066418373680946,22.22222222222222,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27002,2005,27,Lugo,2,Alfoz,2012,1573,439,15,6,1552,1558,78.18091451292246,NA,NA,NA,2,179,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,862,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12836970474967907,11.489088575096277,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06418485237483953,0.19255455712451863,0.19255455712451863,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,55.327342747111686,32.22079589216945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27002,2009,27,Lugo,2,Alfoz,1889,1474,415,22,17,1435,1452,78.0307040762308,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,NA,NA,1,NA,3,NA,NA,NA,NA,0,NA,NA,NA,782,441,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,13.498622589531681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13774104683195593,0,0.06887052341597796,NA,0,NA,NA,0.06887052341597796,NA,0.2066115702479339,NA,NA,NA,NA,0,NA,NA,NA,53.85674931129476,30.37190082644628,NA,0.27548209366391185,NA,NA,NA,NA,NA,NA,NA,0.06887052341597796,NA,NA,NA,NA,0.27548209366391185,NA,NA
