CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;AUTONOMO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG(BLOQUE NACIONALISTA GALEGO) ;DPG (DEMOCRACIA PROGRESISTA GALEGA);EdeG (ESQUERDA DE GALICIA);FPG (FRENTE POPULAR GALEGA);IU-EU (ESQUERDA UNIDA-IZQUIERDA UNIDA);PH(PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG-PSOE(PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL)  ;SDD(PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;1;1;Abegondo;5058;3214;1844;53;27;3134;3187;24;639;14;9;8;13;12;1885;530;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;2;2;Ames;13928;9515;4413;225;94;9196;9421;25;2377;26;39;11;72;32;4760;1854;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;3;3;Aranga;2127;1484;643;12;8;1464;1476;0;192;8;2;0;2;0;1088;172;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;4;4;Ares;4294;2909;1385;52;20;2837;2889;8;760;6;6;2;33;2;1438;582;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;5;5;Arteixo;18459;9621;8838;200;49;9372;9572;49;2677;32;42;21;40;25;4145;2341;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;6;6;Arzúa;5836;4127;1709;49;33;4045;4094;3;1355;5;2;9;10;8;2035;618;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;7;7;Baña (A);4496;2859;1637;35;19;2805;2840;3;569;15;2;9;3;5;1625;574;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;8;8;Bergondo;5336;3627;1709;48;24;3555;3603;12;727;22;14;5;22;19;1850;884;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;9;9;Betanzos;10657;7268;3389;129;57;7082;7211;40;1367;13;32;10;48;12;3314;2246;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;10;10;Boimorto;2280;1571;709;14;6;1551;1565;7;355;19;3;3;4;1;856;303;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;11;11;Boiro;14830;10000;4830;133;76;9791;9924;20;3156;17;18;15;46;25;4609;1885;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;12;12;Boqueixón;3650;2662;988;23;10;2629;2652;9;434;4;2;4;3;2;1745;426;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;13;13;Brión;5380;3140;2240;47;10;3083;3130;8;872;7;6;9;10;8;1581;582;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;14;14;Cabana de Bergantiños;4813;3128;1685;37;17;3074;3111;6;485;14;9;5;6;7;1810;732;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;15;15;Cabanas;2868;1731;1137;37;12;1682;1719;8;406;7;5;2;4;0;759;491;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;16;16;Camariñas;5324;3369;1955;26;30;3313;3339;6;602;5;21;8;8;5;1263;1395;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;17;17;Cambre;15410;8834;6576;216;46;8572;8788;56;2613;53;53;19;77;40;3114;2547;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;18;18;Capela (A);1379;813;566;22;3;788;810;1;202;2;4;0;2;0;281;296;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;19;19;Carballo;24114;15622;8492;372;132;15118;15490;49;4794;54;32;29;37;36;7098;2989;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;20;20;Carnota;4821;2837;1984;29;14;2794;2823;1;805;7;11;7;0;6;1360;597;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;21;21;Carral;4608;2664;1944;47;11;2606;2653;9;541;8;5;4;5;5;1236;793;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;22;22;Cedeira;6644;4065;2579;62;23;3980;4042;28;1281;11;12;15;7;10;1945;671;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;23;23;Cee;6094;4185;1909;55;22;4108;4163;5;809;10;0;7;9;10;2091;1167;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;24;24;Cerceda;4896;3408;1488;40;36;3332;3372;10;509;29;14;11;8;11;1520;1220;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;25;25;Cerdido;1473;901;572;7;6;888;895;8;179;1;3;1;3;1;587;105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;26;26;Cesuras;2324;1464;860;20;9;1435;1455;4;262;2;1;1;5;2;942;216;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
