CÓD. PROVINCIA;PROVINCIA;CÓD. MUNICIPIO;MUNICIPIO;CENSO;TOTAL VOTOS;TOTAL ABSTENCIÓN;VOTOS EN BRANCO;VOTOS NULOS;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS;AU.TO.NO.MO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG (BLOQUE NACIONALISTA GALEGO);CDS (CENTRO DEMOCRÁTICO Y SOCIAL);D.N. (DEMOCRACIA NACIONAL);D.O. (DEMOCRACIA OURENSANA);EU-IU (ESQUERDA UNIDA - IZQUIERDA UNIDA);FE de las JONS (FALANGE ESPAÑOLA DE LAS J.O.N.S.);FPG (FRENTE POPULAR GALEGA);IDEGA (IDENTIDADE GALEGA);IR-ERG (IZQUIERDA REPUBLICANA-ESQUERDA REPUBLICANA GALEGA);NÓS-UP (NÓS-UNIDADE POPULAR);PH (PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG - PSOE (PARTIDO DOS SOCIALISTAS DE GALICIA - PARTIDO SOCIALISTA OBRERO ESPAÑOL);S.E.P. (PARTIDO SOCIAL ESPAÑOL POPULAR);SDD (PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO)
15;A Coruña;1;Abegondo;5138;3410;1728;38;14;3358;3396;9;633;8;0;;43;2;2;0;;3;4;1836;818;;
15;A Coruña;2;Ames;16948;11825;5123;198;48;11579;11777;23;2703;21;4;;137;4;18;5;;27;13;5025;3599;;
15;A Coruña;3;Aranga;2052;1507;545;19;6;1482;1501;0;201;1;1;;3;0;2;0;;0;1;854;419;;
15;A Coruña;4;Ares;4530;3331;1199;47;15;3269;3316;6;681;4;1;;38;0;2;3;;3;4;1471;1056;;
15;A Coruña;5;Arteixo;21018;11779;9239;157;39;11583;11740;34;3018;17;12;;59;9;18;7;;9;19;4127;4254;;
15;A Coruña;6;Arzúa;5766;4077;1689;49;31;3997;4046;6;1201;11;2;;20;1;2;4;;2;0;1830;918;;
15;A Coruña;7;Baña (A);4283;3052;1231;19;9;3024;3043;1;373;2;0;;4;2;9;1;;3;6;1682;941;;
15;A Coruña;8;Bergondo;5579;4013;1566;59;17;3937;3996;7;733;9;1;;25;4;2;1;;2;8;1817;1328;;
15;A Coruña;9;Betanzos;10972;7749;3223;130;41;7578;7708;20;1225;10;9;;55;2;6;9;;11;5;3291;2935;;
15;A Coruña;10;Boimorto;2189;1477;712;19;5;1453;1472;5;263;0;3;;1;1;1;0;;2;1;740;436;;
15;A Coruña;11;Boiro;15098;10127;4971;102;64;9961;10063;15;2809;14;13;;52;4;7;8;;8;12;4095;2924;;
15;A Coruña;12;Boqueixón;3754;2935;819;35;20;2880;2915;4;424;1;1;;4;1;2;0;;3;2;1723;715;;
15;A Coruña;13;Brión;5729;3472;2257;48;10;3414;3462;4;749;2;3;;31;0;1;3;;3;2;1656;960;;
15;A Coruña;14;Cabana de Bergantiños;4530;3126;1404;34;15;3077;3111;8;404;7;1;;6;1;3;0;;0;4;1690;953;;
15;A Coruña;15;Cabanas;2930;1877;1053;28;14;1835;1863;4;415;2;1;;9;0;0;0;;0;0;757;647;;
15;A Coruña;16;Camariñas;5229;3699;1530;12;11;3676;3688;2;355;2;2;;7;2;5;4;;7;2;1584;1704;;
15;A Coruña;17;Cambre;17299;10753;6546;208;38;10507;10715;16;2753;28;5;;161;4;16;9;;5;23;3373;4114;;
15;A Coruña;18;Capela (A);1337;853;484;14;0;839;853;0;162;1;1;;1;0;0;0;;1;1;274;398;;
15;A Coruña;19;Carballo;24817;16222;8595;201;68;15953;16154;21;5018;16;25;;226;6;17;10;;24;13;6169;4408;;
15;A Coruña;20;Carnota;4567;2977;1590;25;20;2932;2957;4;696;3;1;;5;7;1;0;;0;3;1281;931;;
15;A Coruña;21;Carral;4761;3045;1716;41;20;2984;3025;5;471;1;4;;15;3;6;0;;3;0;1384;1092;;
15;A Coruña;22;Cedeira;6406;4072;2334;60;20;3992;4052;10;898;2;3;;16;1;10;2;;2;5;1932;1111;;
15;A Coruña;23;Cee;6276;4545;1731;38;17;4490;4528;7;862;2;9;;14;4;4;4;;0;3;1952;1629;;
15;A Coruña;24;Cerceda;4903;3582;1321;36;18;3528;3564;7;480;5;4;;9;3;4;0;;6;1;1447;1562;;
15;A Coruña;25;Cerdido;1360;837;523;7;2;828;835;1;135;0;2;;0;0;0;1;;0;1;507;181;;
15;A Coruña;26;Cesuras;2216;1519;697;21;10;1488;1509;4;251;1;0;;8;0;1;2;;1;1;886;333;;
15;A Coruña;27;Coirós;1478;1214;264;17;7;1190;1207;0;171;0;3;;8;1;1;0;;0;1;684;321;;
15;A Coruña;28;Corcubión;1574;1073;501;6;11;1056;1062;3;380;0;0;;12;1;4;0;;0;2;331;323;;
15;A Coruña;29;Coristanco;6778;4935;1843;61;21;4853;4914;4;876;4;4;;4;3;9;1;;2;1;2547;1398;;
15;A Coruña;30;Coruña (A);204554;133277;71277;2537;481;130259;132796;361;28606;303;60;;1440;92;133;72;;126;178;47267;51621;;
15;A Coruña;31;Culleredo;20607;12953;7654;223;39;12691;12914;33;3347;27;10;;112;6;9;8;;19;14;3563;5543;;
15;A Coruña;32;Curtis;3791;2543;1248;36;19;2488;2524;4;467;0;1;;9;0;3;0;;2;8;1329;665;;
15;A Coruña;33;Dodro;2684;2090;594;9;6;2075;2084;2;508;0;2;;12;2;2;0;;3;1;1036;507;;
15;A Coruña;34;Dumbría;3327;2001;1326;12;8;1981;1993;3;296;1;2;;7;0;3;3;;3;0;690;973;;
15;A Coruña;35;Fene;12608;8003;4605;139;32;7832;7971;15;2314;12;5;;328;3;9;2;;11;3;2524;2606;;
15;A Coruña;36;Ferrol;65900;40408;25492;776;129;39503;40279;77;7099;54;39;;1454;13;40;10;;58;39;17177;13443;;
15;A Coruña;37;Fisterra;4167;2751;1416;23;14;2714;2737;1;658;6;2;;5;2;3;0;;2;2;1345;688;;
15;A Coruña;38;Frades;2539;1796;743;19;15;1762;1781;6;328;5;4;;0;0;4;4;;0;1;847;563;;
15;A Coruña;39;Irixoa;1433;1030;403;7;1;1022;1029;0;163;3;2;;3;3;1;1;;1;1;577;267;;
15;A Coruña;40;Laxe;2994;2187;807;17;11;2159;2176;3;322;2;1;;4;1;4;2;;0;1;884;935;;
15;A Coruña;41;Laracha;9360;7123;2237;52;45;7026;7078;8;1445;5;4;;15;2;7;1;;6;1;3631;1901;;
15;A Coruña;42;Lousame;3357;2311;1046;18;10;2283;2301;1;457;2;0;;5;1;2;3;;1;6;1172;633;;
15;A Coruña;43;Malpica de Bergantiños;5984;4061;1923;39;28;3994;4033;6;889;7;5;;13;5;2;1;;5;6;1847;1208;;
15;A Coruña;44;Mañón;1644;1208;436;11;5;1192;1203;7;129;1;0;;6;3;1;1;;0;2;628;414;;
15;A Coruña;45;Mazaricos;4689;2681;2008;14;12;2655;2669;3;516;1;2;;2;2;1;0;;1;2;1555;570;;
15;A Coruña;46;Melide;7263;4741;2522;31;39;4671;4702;6;1158;4;4;;10;2;3;2;;6;8;2329;1139;;
15;A Coruña;47;Mesía;2815;1849;966;24;4;1821;1845;4;481;5;0;;3;2;1;0;;3;0;709;613;;
15;A Coruña;48;Miño;4375;3106;1269;58;21;3027;3085;3;553;5;4;;16;5;2;2;;2;2;1566;867;;
15;A Coruña;49;Moeche;1314;879;435;3;1;875;878;0;192;0;0;;2;0;1;0;;1;0;540;139;;
15;A Coruña;50;Monfero;2190;1247;943;10;6;1231;1241;1;186;2;1;;1;0;0;0;;0;0;450;590;;
15;A Coruña;51;Mugardos;5004;3327;1677;43;17;3267;3310;3;870;2;3;;115;1;3;4;;2;1;1217;1046;;
15;A Coruña;52;Muxía;4911;3779;1132;20;24;3735;3755;5;589;3;1;;1;0;3;0;;2;1;1773;1357;;
15;A Coruña;53;Muros;8408;5614;2794;57;12;5545;5602;7;1428;12;9;;17;0;9;6;;6;9;2283;1759;;
15;A Coruña;54;Narón;29746;15849;13897;259;49;15541;15800;58;3244;29;18;;364;9;20;13;;33;19;6579;5155;;
