CÓD. PROVINCIA;PROVINCIA;CÓD. MUNICIPIO;MUNICIPIO;CENSO;TOTAL VOTOS;TOTAL ABSTENCIÓN;VOTOS EN BRANCO;VOTOS NULOS;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS; +G ( + Galicia);AVE (Asamblea de Votación Electrónica);BNG (Bloque Nacionalista Galego);DO (Democracia Ourensana);EU-IU (Esquerda Unida-Izquierda Unida);FE de las JONS (Falange Española de las JONS  );FPG (Frente Popular Galega);GU (Galicia Unida          );NÓS-UP (Nós-Unidade Popular);OV (Os Verdes-Grupo Verde   );PH (Partido Humanista);PP (Partido Popular);PSdeG-PSOE (Partido dos Socialistas de Galicia-Partido Socialista Obrero Español);PUM+J (Por un Mundo más Justo         );SAIn (Solidaridad y Autogestión Internacionalista          );SDD (Partido Social y Democrático de Derecho);TEGA (Terra Galega);UCL (Unión Centrista Liberal);UPyD (Unión, Progreso y Democracia)
15;A Coruña;1;Abegondo;5113;3339;1774;80;46;3213;3293;1;6;499;;36;;5;;3;16;2;1744;838;7;0;;31;3;22
15;A Coruña;2;Ames;19999;14200;5799;322;125;13753;14075;7;3;2545;;213;;29;;27;90;6;6200;4089;22;21;;46;8;447
15;A Coruña;3;Aranga;1973;1486;487;9;9;1468;1477;0;1;223;;1;;3;;5;2;1;844;380;1;1;;3;0;3
15;A Coruña;4;Ares;4728;3354;1374;42;34;3278;3320;0;0;524;;41;;2;;3;13;1;1492;1051;4;0;;104;1;42
15;A Coruña;5;Arteixo;23202;13523;9679;367;118;13038;13405;13;3;2174;;101;;25;;10;89;15;5353;4135;29;7;;899;5;180
15;A Coruña;6;Arzúa;5690;4086;1604;54;59;3973;4027;1;0;892;;19;;5;;2;12;3;1981;1033;0;3;;2;1;19
15;A Coruña;7;Baña (A);4051;2916;1135;25;11;2880;2905;0;0;386;;5;;1;;1;7;0;1556;901;1;1;;8;1;12
15;A Coruña;8;Bergondo;5685;4078;1607;87;45;3946;4033;1;0;544;;22;;3;;1;26;1;2005;1225;5;1;;37;0;75
15;A Coruña;9;Betanzos;11145;7859;3286;214;98;7547;7761;5;6;979;;58;;7;;9;44;5;3674;2558;15;5;;41;7;134
15;A Coruña;10;Boimorto;2056;1521;535;28;8;1485;1513;3;0;181;;2;;2;;0;6;1;750;529;1;0;;5;1;4
15;A Coruña;11;Boiro;15274;10519;4755;147;132;10240;10387;5;2;2227;;86;;9;;7;55;5;4937;2787;19;3;;34;2;62
15;A Coruña;12;Boqueixón;3777;3005;772;32;21;2952;2984;2;1;370;;11;;1;;1;6;0;1846;678;1;2;;9;0;24
15;A Coruña;13;Brión;5900;4065;1835;76;31;3958;4034;3;0;557;;30;;12;;3;17;0;1864;1380;6;2;;7;1;76
