CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;PARTIDO COMUNISTA DOS POBOS DE ESPAÑA - COMUNISTAS DA GALIZA;A.I.D.G (ALTERNATIVA INDEPENDENTE DE GALICIA);C 21 (CONVERXENCIA 21);C's (CIUDADANOS - PARTIDO DE LA CIUDADANÍA);ADCG (ACCIÓN DEMOCRÁTICA CIUDADANOS DE GALICIA);VN (VÍA NOVA GALICIA);BNG-NÓS (BNG-NÓS CANDIDATURA GALEGA);PP (PARTIDO POPULAR);PACMA (PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL);PSdeG - PSOE (PARTIDO DOS SOCIALISTAS DE GALICIA -PSOE);RECORTES CERO-GRUPO VERDE;PAYJ (PARTIDO ANTICORRUPCIÓN Y JUSTICIA);C-C (CIDADÁNS-CEMTRUM);CxG (COMPROMISO POR GALICIA);UNIDOS SI-DEF (UNIDOS POR EL FUTURO);P-LIB (PARTIDO LIBERTARIO);EN MAREA;GAÑEMOS;DO (DEMOCRACIA OURENSANA);EB (ESCANOS EN BRANCO);;
15;A Coruña                      ;7;A Baña;3269;2203;1066;15;11;2177;2192;0;0;0;41;0;2;135;1272;4;433;0;4;4;128;0;0;154;0;0;0;;
15;A Coruña                      ;18;A Capela;1135;760;375;7;17;736;743;0;1;0;12;0;0;70;239;2;298;0;1;12;0;2;0;98;1;0;0;;
15;A Coruña                      ;30;A Coruña;200201;125133;75076;1633;796;122704;124337;111;68;32;5337;96;21;8297;54113;1583;22086;207;164;135;179;72;56;29995;152;0;0;;
15;A Coruña                      ;41;A Laracha;9553;6438;3115;77;65;6296;6373;7;4;1;201;5;2;598;3548;45;914;5;10;6;4;2;1;937;6;0;0;;
15;A Coruña                      ;67;A Pobra do Caramiñal;8023;5217;2811;44;37;5136;5180;6;1;0;114;2;0;791;2155;50;754;2;7;1;10;3;1;1233;6;0;0;;
15;A Coruña                      ;1;Abegondo;4741;2962;1780;32;25;2905;2937;5;4;0;128;2;1;193;1686;29;355;5;6;4;17;4;1;462;3;0;0;;
15;A Coruña                      ;2;Ames;23169;14682;8487;209;130;14343;14552;13;7;3;579;8;5;1356;6179;218;2300;42;31;70;72;8;5;3434;13;0;0;;
15;A Coruña                      ;3;Aranga;1783;1186;597;8;14;1164;1172;1;0;1;16;0;0;76;791;3;190;0;2;1;1;1;3;78;0;0;0;;
15;A Coruña                      ;4;Ares;4814;3131;1683;43;35;3053;3096;1;1;0;72;1;1;362;1355;29;623;3;5;1;5;2;3;585;4;0;0;;
15;A Coruña                      ;5;Arteixo;24587;13232;11355;153;144;12935;13088;16;10;1;460;6;6;1101;5907;218;2187;23;23;13;19;5;6;2913;21;0;0;;
15;A Coruña                      ;6;Arzúa;5297;3201;2096;25;50;3126;3151;1;2;2;73;1;0;379;1768;19;441;1;2;16;20;1;0;397;3;0;0;;
15;A Coruña                      ;70;As Pontes de García Rodríguez;9035;5504;3531;87;113;5304;5391;7;8;2;77;2;2;620;1847;50;1476;9;9;10;20;3;14;1144;4;0;0;;
15;A Coruña                      ;81;As Somozas;1024;773;251;6;5;762;768;0;0;0;5;0;0;33;596;1;53;1;0;0;1;0;0;72;0;0;0;;
15;A Coruña                      ;8;Bergondo;5616;3686;1930;36;36;3614;3650;9;0;0;136;1;2;177;1937;32;611;4;4;0;8;2;1;687;3;0;0;;
15;A Coruña                      ;9;Betanzos;10734;6961;3773;77;87;6797;6874;7;6;1;221;4;0;505;3329;62;1295;7;16;6;26;3;0;1300;9;0;0;;
15;A Coruña                      ;10;Boimorto;1880;1234;646;9;12;1213;1222;1;1;0;12;0;0;287;679;11;157;1;0;4;0;0;0;60;0;0;0;;
15;A Coruña                      ;11;Boiro;15417;9413;6004;61;98;9254;9315;14;2;1;334;7;1;1180;4482;114;1314;13;18;9;28;2;5;1719;11;0;0;;
15;A Coruña                      ;12;Boqueixón;3617;2578;1039;36;40;2502;2538;2;2;1;60;0;0;127;1598;20;324;3;9;3;32;1;2;316;2;0;0;;
15;A Coruña                      ;13;Brión;6183;3790;2393;47;29;3714;3761;1;5;1;122;1;0;319;1798;63;635;5;2;3;15;0;3;738;3;0;0;;
15;A Coruña                      ;14;Cabana de Bergantiños;3978;2443;1536;20;34;2389;2409;4;0;2;71;0;0;178;1513;9;357;2;4;4;2;1;0;241;1;0;0;;
15;A Coruña                      ;15;Cabanas;2798;1866;932;24;19;1823;1847;5;3;1;36;0;0;194;918;14;299;2;1;2;3;1;2;335;7;0;0;;
15;A Coruña                      ;16;Camariñas;4735;2957;1778;16;34;2907;2923;0;2;0;45;0;0;122;1429;12;1064;0;0;1;1;0;1;228;2;0;0;;
15;A Coruña                      ;17;Cambre;19415;11679;7736;165;141;11373;11538;14;12;4;538;8;9;894;4739;179;2029;25;31;11;15;4;2;2825;34;0;0;;
15;A Coruña                      ;19;Carballo;25880;15087;10793;171;134;14782;14953;9;19;11;484;8;2;2512;7342;99;2225;13;23;10;21;5;9;1967;23;0;0;;
