C¢d. Cir.;C¢d. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstenci¢n;Votos V lidos;Votos Candidaturas;PCTG;PUM+J;PACMA;B.N.G.;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;CCD-AU.TO.NO.MO;PSdeG-PSOE;EQUO;VOX;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA;RECORTES CERO-ESCO-OV-M;Cs;P-LIB
15;7;A Ba¤a;;3.130;0;3.130;1.934;11;12;1.196;1.923;1.911;2;1;1;326;25;1.109;0;419;0;21;2;0;5;0
15;18;A Capela;;1.087;0;1.087;659;9;4;428;650;646;1;1;0;196;18;228;0;193;1;7;1;0;0;0
15;30;A Coru¤a;;200.009;4;200.013;113.956;640;1.131;86.057;113.316;112.185;63;99;644;27.721;6.410;52.369;39;20.552;164;2.802;359;105;792;66
15;41;A Laracha;;9.576;0;9.576;5.861;45;67;3.715;5.816;5.749;4;1;22;1.250;153;3.397;1;796;0;90;6;1;22;6
15;67;A Pobra do Carami¤al;;7.931;0;7.931;4.772;34;28;3.159;4.738;4.710;5;2;21;1.409;313;1.989;1;830;4;113;6;0;15;2
15;1;Abegondo;;4.680;0;4.680;2.842;28;45;1.838;2.814;2.769;5;1;8;555;89;1.660;1;375;2;54;5;3;8;3
15;2;Ames;;24.319;1;24.320;14.232;114;162;10.088;14.118;13.956;4;11;97;4.090;725;6.374;6;2.117;23;308;45;17;128;11
15;3;Aranga;;1.657;0;1.657;1.111;8;8;546;1.103;1.095;0;1;3;172;8;722;0;169;0;16;0;1;3;0
15;4;Ares;;4.952;0;4.952;2.932;21;21;2.020;2.911;2.890;0;0;13;752;166;1.239;1;619;1;72;6;4;16;1
15;5;Arteixo;;25.589;0;25.589;12.551;136;119;13.038;12.415;12.296;11;11;91;3.178;610;5.866;4;2.131;9;279;18;9;70;9
15;6;Arz£a;;5.120;1;5.121;2.847;32;21;2.274;2.815;2.794;3;0;4;730;40;1.597;3;353;0;43;8;4;8;1
15;70;As Pontes de Garc¡a Rodr¡guez;;8.677;0;8.677;4.746;64;84;3.931;4.682;4.598;4;5;16;1.625;191;1.716;2;911;2;73;33;2;14;4
15;81;As Somozas;;965;0;965;717;8;10;248;709;699;1;0;1;106;13;533;0;40;0;4;0;0;1;0
15;8;Bergondo;;5.663;0;5.663;3.468;27;45;2.195;3.441;3.396;0;4;23;692;117;1.907;1;549;1;74;4;3;19;2
15;9;Betanzos;;10.648;1;10.649;6.469;76;64;4.180;6.393;6.329;3;7;23;1.471;247;3.169;2;1.219;9;127;4;4;36;8
15;10;Boimorto;;1.774;0;1.774;1.046;6;13;728;1.040;1.027;0;0;2;206;10;671;0;128;0;7;0;0;3;0
15;11;Boiro;;15.514;2;15.516;8.610;66;68;6.906;8.544;8.476;7;8;57;2.109;315;4.297;1;1.429;4;184;15;3;37;10
15;12;Boqueix¢n;;3.584;0;3.584;2.495;52;25;1.089;2.443;2.418;2;1;13;413;52;1.575;1;291;2;39;7;2;19;1
15;13;Bri¢n;;6.344;0;6.344;3.688;37;42;2.656;3.651;3.609;4;2;16;931;138;1.832;1;549;6;93;10;4;20;3
15;14;Cabana de Berganti¤os;;3.798;0;3.798;2.190;10;18;1.608;2.180;2.162;1;1;8;422;37;1.373;0;258;1;44;6;2;9;0
15;15;Cabanas;;2.864;0;2.864;1.658;11;12;1.206;1.647;1.635;1;0;4;432;63;756;0;336;2;32;5;0;4;0
15;16;Camari¤as;;4.513;0;4.513;2.647;25;16;1.866;2.622;2.606;0;2;8;356;21;1.175;0;977;0;59;2;2;3;1
15;17;Cambre;;19.891;0;19.891;11.015;112;123;8.876;10.903;10.780;14;7;69;2.960;616;4.743;0;1.993;16;269;22;8;55;8
15;19;Carballo;;25.979;1;25.980;14.209;103;115;11.771;14.106;13.991;7;2;50;4.421;340;7.025;7;1.780;7;263;10;15;59;5
15;901;Cari¤o;;3.288;0;3.288;1.704;9;14;1.584;1.695;1.681;0;0;10;389;74;770;4;395;0;35;1;2;0;1
15;20;Carnota;;3.544;0;3.544;2.047;10;14;1.497;2.037;2.023;2;0;9;611;48;929;0;391;1;23;7;0;1;1
15;21;Carral;;5.288;0;5.288;3.058;48;31;2.230;3.010;2.979;0;0;10;713;118;1.559;1;509;5;52;4;0;7;1
15;22;Cedeira;;5.534;0;5.534;3.031;15;21;2.503;3.016;2.995;2;1;6;932;85;1.321;1;554;6;68;5;4;9;1
15;23;Cee;;6.291;0;6.291;3.639;28;35;2.652;3.611;3.576;2;1;14;922;92;1.689;0;773;1;61;6;1;13;1
15;24;Cerceda;;4.286;0;4.286;2.704;37;22;1.582;2.667;2.645;0;0;8;495;41;1.465;0;571;2;54;2;1;5;1
15;25;Cerdido;;969;0;969;543;3;5;426;540;535;0;0;1;94;2;306;0;122;0;7;1;0;0;2
15;27;Coir¢s;;1.578;0;1.578;1.095;14;12;483;1.081;1.069;0;0;5;154;29;659;0;159;2;32;2;0;25;2
15;28;Corcubi¢n;;1.374;0;1.374;894;5;9;480;889;880;1;1;4;331;40;292;0;197;0;8;3;2;1;0
15;29;Coristanco;;5.282;0;5.282;3.049;27;26;2.233;3.022;2.996;1;0;1;630;43;1.857;0;397;0;62;0;1;4;0
15;31;Culleredo;;23.987;0;23.987;13.296;128;153;10.691;13.168;13.015;11;12;93;3.503;647;5.414;4;2.840;10;322;44;13;92;10
