C¢d. Cir.;C¢d. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstenci¢n;Votos V lidos;Votos Candidaturas;PODEMOS-ESQUERDA UNIDA-ANOVA;PUM+J;VOX;C 21;PCTG;B.N.G.;PSdeG-PSOE;EQUO;mg;RECORTES CERO-ESCO-OV-M;PP;Cs;PACMA
27;18;A Fonsagrada;;3.146;0;3.146;1.948;18;19;1.198;1.930;1.911;25;2;21;0;0;312;673;2;0;0;868;6;2
27;44;A Pastoriza;;2.667;0;2.667;1.469;20;11;1.198;1.449;1.438;15;3;28;0;0;345;203;0;3;1;836;0;4
27;47;A Pobra do Broll¢n;;1.482;1;1.483;884;8;5;599;876;871;18;0;12;0;0;261;145;1;3;0;424;4;3
27;48;A Pontenova;;1.965;0;1.965;1.253;25;19;712;1.228;1.209;23;1;23;0;0;153;408;0;1;0;594;2;4
27;1;Abad¡n;;2.148;0;2.148;1.124;20;15;1.024;1.104;1.089;16;0;33;0;0;140;131;0;1;0;765;3;0
27;2;Alfoz;;1.515;0;1.515;885;19;9;630;866;857;9;2;12;0;0;175;204;0;4;2;448;1;0
27;3;Antas de Ulla;;1.727;0;1.727;1.103;19;9;624;1.084;1.075;19;0;20;1;0;165;148;2;1;0;714;1;4
27;37;As Nogais;;972;0;972;680;7;3;292;673;670;8;0;9;0;1;53;128;0;2;0;467;1;1
27;4;Baleira;;1.128;0;1.128;625;9;2;503;616;614;6;0;17;0;0;72;110;0;0;0;409;0;0
27;901;Baralla;;2.219;0;2.219;1.448;14;16;771;1.434;1.418;28;0;17;0;0;134;179;0;1;1;1.056;1;1
27;5;Barreiros;;2.544;0;2.544;1.503;23;13;1.041;1.480;1.467;25;1;27;0;2;494;131;0;3;0;777;2;5
27;6;Becerre ;;2.421;0;2.421;1.343;22;11;1.078;1.321;1.310;17;0;39;0;0;215;187;0;4;5;832;4;7
27;7;Begonte;;2.698;0;2.698;1.895;31;21;803;1.864;1.843;24;0;38;0;0;240;218;2;1;0;1.317;1;2
27;8;B¢veda;;1.308;0;1.308;861;13;9;447;848;839;15;1;17;0;1;127;153;0;0;0;522;2;1
27;902;Burela;;7.111;0;7.111;3.676;62;30;3.435;3.614;3.584;104;0;60;0;1;1.250;510;2;15;1;1.608;13;20
27;9;Carballedo;;1.974;1;1.975;1.447;11;12;528;1.436;1.424;10;0;16;1;0;184;153;0;1;0;1.056;1;2
27;10;Castro de Rei;;4.367;0;4.367;2.566;49;26;1.801;2.517;2.491;40;0;63;0;3;496;342;1;5;1;1.531;4;5
27;11;Castroverde;;2.328;0;2.328;1.404;16;9;924;1.388;1.379;20;0;30;1;0;248;397;0;5;0;673;2;3
27;12;Cervantes;;1.232;0;1.232;599;4;1;633;595;594;8;0;12;0;1;79;196;0;0;0;296;2;0
27;13;Cervo;;3.675;0;3.675;2.638;55;30;1.037;2.583;2.553;104;0;26;0;0;914;406;2;2;0;1.087;7;5
27;16;Chantada;;6.925;0;6.925;4.220;33;32;2.705;4.187;4.155;76;2;95;3;1;945;770;2;14;4;2.196;21;26
27;15;Cospeito;;3.941;0;3.941;2.449;43;29;1.492;2.406;2.377;47;0;49;1;1;363;322;3;3;1;1.577;5;5
27;17;Folgoso do Courel;;929;0;929;638;6;2;291;632;630;15;0;11;2;0;87;111;0;0;0;398;3;3
27;19;Foz;;8.167;0;8.167;4.714;86;34;3.453;4.628;4.594;150;1;114;1;3;1.378;813;2;18;2;2.079;20;13
27;20;Friol;;3.297;0;3.297;2.665;51;26;632;2.614;2.588;24;0;30;0;0;240;268;1;8;2;2.009;4;2
27;22;Guitiriz;;4.625;0;4.625;2.560;30;24;2.065;2.530;2.506;66;0;49;0;0;624;450;0;4;6;1.296;5;6
27;23;Gunt¡n;;2.411;0;2.411;1.636;28;11;775;1.608;1.597;16;0;20;0;0;155;199;0;2;0;1.200;2;3
27;26;L ncara;;2.273;0;2.273;1.326;6;5;947;1.320;1.315;25;0;20;0;1;250;253;0;1;0;762;0;3
27;27;Lourenz ;;1.778;0;1.778;1.071;17;15;707;1.054;1.039;18;0;12;0;0;252;198;0;5;0;551;2;1
27;28;Lugo;;78.508;7;78.515;44.946;503;476;33.569;44.443;43.967;1.334;25;1.062;20;29;10.403;7.785;32;113;32;22.657;272;203
27;29;Meira;;1.420;0;1.420;948;9;13;472;939;926;15;1;20;1;0;154;240;1;3;0;489;2;0
27;30;Mondo¤edo;;3.086;0;3.086;1.763;32;9;1.323;1.731;1.722;34;0;30;0;2;374;242;1;0;1;1.031;2;5
27;31;Monforte de Lemos;;15.033;1;15.034;8.804;134;92;6.230;8.670;8.578;212;6;297;0;5;1.700;1.988;3;15;8;4.261;40;43
27;32;Monterroso;;3.155;0;3.155;1.751;20;6;1.404;1.731;1.725;31;0;47;1;0;393;244;2;0;0;996;7;4
27;33;Muras;;572;0;572;353;8;1;219;345;344;7;0;2;0;0;94;67;1;0;0;172;1;0
