Cód. Cir.;Cód. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;PUM+J;VOX;PSdeG-PSOE;PCTG;CONTIGO;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;Cs;BNG;PACMA;EB;ESCO-RC-OV-M;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA
32;3;A Arnoia;;860;0;860;625;11;2;235;614;612;0;3;113;0;0;17;389;4;85;0;0;0;1
32;14;A Bola;;998;0;998;707;11;3;291;696;693;1;17;71;0;0;6;471;0;125;2;0;0;0
32;34;A Gudiña;;1.057;0;1.057;768;6;5;289;762;757;0;7;180;0;0;5;389;1;172;2;0;1;0
32;47;A Merca;;1.718;0;1.718;1.131;8;6;587;1.123;1.117;1;11;134;0;2;12;762;7;184;0;1;1;2
32;48;A Mezquita;;837;0;837;503;3;3;334;500;497;0;11;119;0;0;3;178;1;183;1;0;1;0
32;59;A Peroxa;;1.677;0;1.677;1.109;8;9;568;1.101;1.092;0;11;177;1;0;20;757;3;119;2;0;0;2
32;63;A Pobra de Trives;;1.768;0;1.768;1.087;11;9;681;1.076;1.067;1;13;289;0;0;28;557;7;166;1;0;0;5
32;72;A Rúa;;3.625;0;3.625;2.135;19;17;1.490;2.116;2.099;2;52;457;1;1;60;1.052;14;450;4;1;4;1
32;80;A Teixeira;;287;0;287;214;4;0;73;210;210;0;3;17;0;0;7;148;1;29;2;0;0;3
32;83;A Veiga;;785;0;785;520;4;3;265;516;513;0;10;85;0;0;3;343;0;70;1;0;1;0
32;1;Allariz;;5.090;0;5.090;3.212;37;25;1.878;3.175;3.150;0;56;321;1;1;102;1.073;13;1.560;11;3;7;2
32;2;Amoeiro;;2.008;3;2.011;1.278;9;9;733;1.269;1.260;1;25;334;0;1;29;628;16;206;0;2;7;11
32;4;Avión;;1.555;0;1.555;806;1;3;749;805;802;0;28;44;0;0;8;691;0;29;0;0;1;1
32;5;Baltar;;802;0;802;608;6;6;194;602;596;0;12;86;0;0;2;445;2;46;3;0;0;0
32;6;Bande;;1.384;0;1.384;967;3;8;417;964;956;1;26;156;1;0;14;661;2;94;1;0;0;0
32;7;Baños de Molgas;;1.395;0;1.395;802;8;7;593;794;787;2;11;115;0;1;15;399;2;242;0;0;0;0
32;8;Barbadás;;8.690;0;8.690;4.810;50;40;3.880;4.760;4.720;6;136;960;11;4;128;2.234;53;1.142;20;5;11;10
32;10;Beade;;354;0;354;262;5;2;92;257;255;0;6;48;0;0;9;157;0;35;0;0;0;0
32;11;Beariz;;920;0;920;534;6;2;386;528;526;0;5;26;0;0;8;457;1;29;0;0;0;0
32;13;Boborás;;1.955;0;1.955;1.206;7;4;749;1.199;1.195;0;16;145;0;0;14;907;7;101;3;0;1;1
32;16;Calvos de Randín;;685;0;685;441;1;3;244;440;437;0;7;208;0;0;5;171;3;41;1;1;0;0
32;18;Carballeda de Avia;;1.165;0;1.165;883;15;5;282;868;863;0;15;385;0;0;12;357;0;89;4;0;0;1
32;17;Carballeda de Valdeorras;;1.174;0;1.174;693;3;7;481;690;683;0;33;99;1;0;11;480;3;38;0;0;18;0
32;20;Cartelle;;2.381;0;2.381;1.699;12;2;682;1.687;1.685;0;21;281;0;0;12;1.098;3;266;2;0;1;1
32;22;Castrelo de Miño;;1.216;0;1.216;839;2;6;377;837;831;0;2;176;2;4;15;417;1;211;0;1;2;0
