Cód. Cir.;Cód. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;UPYD;PUM+J;BNG;ADCG;UNIDOS SI-UDP-DEf;PCTG;VOX;Cs;PSdeG-PSOE;PACMA;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;EQUO;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA;EB;RECORTES CERO-ESCO-OV-M
36;9;A Cañiza;;4.384;0;4.384;2.498;42;19;1.886;2.456;2.437;0;3;335;2;1;2;52;28;589;11;68;1.340;0;4;0;2
36;17;A Estrada;;17.291;1;17.292;10.609;95;73;6.683;10.514;10.441;1;8;2.596;7;7;5;136;72;1.774;37;249;5.512;5;21;4;7
36;23;A Guarda;;8.218;1;8.219;5.230;40;31;2.989;5.190;5.159;14;7;1.580;0;13;7;75;71;892;20;194;2.256;1;18;7;4
36;901;A Illa de Arousa;;4.174;0;4.174;2.865;41;17;1.309;2.824;2.807;0;1;796;3;1;3;39;29;907;9;107;901;4;3;1;3
36;25;A Lama;;2.098;2;2.100;1.165;4;5;935;1.161;1.156;0;1;158;0;2;0;32;35;127;5;31;759;1;3;2;0
36;20;Agolada;;2.137;0;2.137;1.399;6;3;738;1.393;1.390;0;0;235;0;0;2;16;4;186;4;26;914;1;2;0;0
36;1;Arbo;;2.387;0;2.387;1.613;11;12;774;1.602;1.590;0;0;271;1;0;0;19;11;329;7;29;920;0;1;1;1
36;34;As Neves;;3.260;1;3.261;1.887;19;14;1.374;1.868;1.854;1;0;462;0;4;2;30;23;366;8;57;898;2;0;1;0
36;3;Baiona;;10.035;0;10.035;6.051;55;48;3.984;5.996;5.948;2;5;1.205;3;5;1;109;62;1.230;23;274;3.007;4;6;9;3
36;2;Barro;;3.026;0;3.026;1.871;24;9;1.155;1.847;1.838;0;0;483;4;0;3;30;7;252;3;24;1.028;1;1;1;1
36;4;Bueu;;10.088;0;10.088;5.889;63;51;4.199;5.826;5.775;1;3;1.894;3;5;3;90;61;868;29;265;2.509;3;28;8;5
36;5;Caldas de Reis;;8.110;0;8.110;4.710;51;39;3.400;4.659;4.620;0;1;1.061;17;1;4;70;14;952;8;120;2.361;0;7;3;1
36;6;Cambados;;11.481;0;11.481;7.510;103;41;3.971;7.407;7.366;1;5;1.752;11;2;1;142;41;1.172;24;256;3.911;3;34;7;4
36;7;Campo Lameiro;;1.581;0;1.581;1.022;7;7;559;1.015;1.008;1;0;141;1;0;1;15;6;194;1;8;639;1;0;0;0
36;8;Cangas;;21.904;1;21.905;12.831;123;107;9.074;12.708;12.601;4;11;4.347;16;14;11;209;122;2.265;82;1.065;4.361;15;43;11;25
