"muni_code","n_victims","c1930","repression_pc"
15001,5,8934,0.559659726886053
15002,3,8813,0.340406218086917
15004,18,5986,3.00701637153358
15005,6,10127,0.592475560383134
15006,1,9179,0.108944329447652
15007,3,7380,0.40650406504065
15008,5,6450,0.775193798449612
15009,24,9340,2.56959314775161
15010,6,4471,1.34198165958399
15011,20,11484,1.7415534656914
15012,1,4821,0.207425845260319
15015,7,4062,1.7232890201871
15016,4,6136,0.651890482398957
15017,10,8393,1.19146908137734
15019,6,16565,0.36220947781467
15021,3,5881,0.510117326985207
15022,27,7955,3.39409176618479
15023,6,5559,1.07933081489477
15025,9,3677,2.44764753875442
15028,2,1770,1.12994350282486
15029,1,8267,0.120962864400629
15030,215,71511,3.00653046384472
15031,11,8563,1.28459651991125
15032,1,5990,0.1669449081803
15035,39,7334,5.31769839105536
15036,218,37662,5.78832775742127
15037,1,5860,0.170648464163823
15038,1,4123,0.242541838467136
15039,8,4094,1.95407914020518
15041,3,10927,0.274549281596046
15042,6,6487,0.924926776630183
15044,12,4675,2.5668449197861
15045,1,7597,0.131630906936949
15048,7,5794,1.20814635830169
15050,14,7314,1.91413727098715
15051,35,8147,4.29605989934945
15053,4,11781,0.339529751294457
15054,15,13120,1.14329268292683
15055,9,6990,1.28755364806867
15056,4,8163,0.490015925517579
15057,6,12326,0.486775920817784
15058,13,9699,1.34034436539849
15059,12,8795,1.36441159749858
15061,19,23147,0.8208407136994
15063,1,6089,0.164230579733946
15064,1,5159,0.193836014731537
15065,16,8208,1.94931773879142
15067,8,10338,0.77384407041981
15068,3,9308,0.322303394929093
15069,29,7576,3.82787750791975
15070,7,5871,1.19230114120252
15071,5,10800,0.462962962962963
15072,2,10681,0.18724838498268
15073,11,18835,0.584019113352801
15075,9,10132,0.888274772996447
15077,1,11499,0.0869640838333768
15078,37,39620,0.933871781928319
15079,2,5094,0.392618767177071
15080,1,5825,0.171673819742489
15082,2,9802,0.2040399918384
15085,1,7122,0.1404099971918
15087,6,8482,0.707380334826692
15089,1,6775,0.14760147601476
15090,1,3393,0.294724432655467
15091,2,3607,0.554477405045744
15092,1,11591,0.0862738331464067
27003,1,6774,0.147623265426631
27004,2,5305,0.377002827521206
27006,9,9420,0.955414012738854
27008,1,5230,0.191204588910134
27009,2,10163,0.196792285742399
27010,2,8087,0.247310498330654
27011,10,8283,1.20729204394543
27012,7,8791,0.796268911386645
27014,2,8957,0.223289047672212
27015,2,8270,0.241837968561064
27016,2,15469,0.129290839744004
27017,6,6631,0.904840898808626
27018,4,17896,0.223513634331694
27024,6,8544,0.702247191011236
27028,22,32259,0.681980222573545
27029,1,4363,0.229200091680037
27030,3,9107,0.329416932030306
27031,22,15804,1.39205264490003
27033,2,3549,0.563539025077487
27034,4,7268,0.550357732526142
27038,1,6103,0.163853842372604
27039,1,6536,0.152998776009792
27041,4,11556,0.346140533056421
27042,19,6195,3.06698950766747
27044,2,8324,0.240269101393561
27045,3,4687,0.640068273949221
27046,2,5226,0.382701875239189
27047,8,8131,0.983888820563276
27048,9,NA,NA
27050,21,8639,2.43083690241926
27051,20,9409,2.12562440216814
27052,16,4212,3.79867046533713
27056,1,1043,0.958772770853308
27057,9,15004,0.599840042655292
27058,5,11393,0.43886597033266
27059,8,10676,0.749344323716748
27062,2,2707,0.73882526782416
27064,2,5103,0.391926317852244
27065,1,17417,0.057415169087673
27066,22,13465,1.63386557742295
27902,4,NA,NA
32001,4,9345,0.428036383092563
32002,4,5248,0.76219512195122
32003,2,2871,0.696621386276559
32006,1,5833,0.171438367906738
32007,5,5956,0.83948959032908
32008,8,4299,1.86089788322866
32009,9,6351,1.41709966934341
32013,1,8368,0.119502868068834
32015,2,6445,0.310318076027929
32016,3,4212,0.712250712250712
32017,4,4156,0.962463907603465
32018,5,4180,1.19617224880383
32019,3,10635,0.282087447108604
32021,5,3239,1.54368632293918
32022,5,5133,0.974089226573154
32023,4,5798,0.689893066574681
32024,1,7981,0.125297581756672
32026,3,5350,0.560747663551402
32027,1,3980,0.251256281407035
32030,1,4457,0.22436616558223
32031,1,3524,0.283768444948922
32032,3,9105,0.329489291598023
32033,1,4314,0.231803430690774
32034,8,2875,2.78260869565217
32035,1,8378,0.11936022917164
32038,3,1992,1.50602409638554
32039,6,4600,1.30434782608696
32040,3,4633,0.647528599179797
32041,1,3527,0.283527076835838
32042,1,5417,0.184604024367731
32043,11,6426,1.71179582944289
32045,2,6313,0.316806589577063
32046,4,4174,0.95831336847149
32047,2,5896,0.33921302578019
32048,15,3169,4.73335437046387
32049,2,4154,0.481463649494463
32050,2,5513,0.362778886268819
32051,3,5713,0.525118151584106
32052,4,9191,0.435208356000435
32054,82,21461,3.82088439494898
32055,4,3993,1.00175306786877
32056,1,4315,0.231749710312862
32058,9,7810,1.15236875800256
32060,2,3184,0.628140703517588
32063,1,6589,0.151768098345728
32065,2,2322,0.861326442721792
32069,11,6812,1.61479741632413
32070,2,3926,0.509424350483953
32072,10,3423,2.92141396435875
32073,14,4453,3.14394790029194
32075,4,4211,0.949893137022085
32077,1,2916,0.342935528120713
32081,1,4056,0.2465483234714
32082,2,3483,0.574217628481194
32083,4,7855,0.509229789942712
32084,2,4258,0.469704086425552
32085,8,7132,1.12170499158721
32086,6,8762,0.684775165487332
32087,3,3807,0.788022064617809
32088,23,4586,5.01526384648932
